x y theta v w
-0.702146 4.62606 4.06853 0.237216 0.21174
-0.716246 4.60685 4.0896 0.239259 0.209559
-0.730058 4.58719 4.11045 0.241358 0.207328
-0.743579 4.56707 4.13107 0.243514 0.20505
-0.756803 4.54649 4.15146 0.245725 0.202727
-0.769723 4.52545 4.17161 0.247992 0.200363
-0.782336 4.50397 4.19153 0.250314 0.19796
-0.794636 4.48203 4.2112 0.252691 0.195521
-0.806618 4.45964 4.23063 0.255121 0.193049
-0.818277 4.43681 4.24981 0.257605 0.190548
-0.829609 4.41354 4.26874 0.260141 0.18802
-0.840609 4.38982 4.28742 0.262729 0.185468
-0.851273 4.36566 4.30584 0.265367 0.182896
-0.861597 4.34107 4.324 0.268055 0.180305
-0.871576 4.31605 4.3419 0.270792 0.177701
-0.881206 4.29059 4.35954 0.273576 0.175084
-0.890484 4.2647 4.37692 0.276408 0.172458
-0.899405 4.23839 4.39403 0.279285 0.169826
-0.907967 4.21165 4.41089 0.282206 0.16719
-0.916166 4.18449 4.42747 0.285171 0.164553
-0.923998 4.15692 4.4438 0.288177 0.161918
-0.931461 4.12892 4.45986 0.291224 0.159286
-0.938551 4.10052 4.47566 0.294311 0.156659
-0.945266 4.0717 4.49119 0.297435 0.154041
-0.951602 4.04248 4.50647 0.300596 0.151433
-0.957558 4.01286 4.52148 0.303792 0.148837
-0.963131 3.98283 4.53624 0.307022 0.146254
-0.968319 3.9524 4.55074 0.310284 0.143687
-0.973119 3.92158 4.56498 0.313577 0.141137
-0.97753 3.89037 4.57897 0.316898 0.138605
-0.98155 3.85876 4.5927 0.320247 0.136092
-0.985178 3.82677 4.60619 0.323622 0.133601
-0.988411 3.7944 4.61942 0.327022 0.131131
-0.991249 3.76165 4.63241 0.330444 0.128685
-0.993691 3.72853 4.64516 0.333887 0.126262
-0.995735 3.69503 4.65767 0.337349 0.123864
-0.997381 3.66116 4.66994 0.340829 0.121491
-0.998628 3.62692 4.68197 0.344326 0.119144
-0.999476 3.59232 4.69377 0.347836 0.116824
-0.999923 3.55737 4.70534 0.351359 0.114531
-0.999971 3.52205 4.71668 0.354894 0.112265
-0.999619 3.48639 4.72779 0.358437 0.110027
-0.998867 3.45037 4.73869 0.361988 0.107817
-0.997715 3.41402 4.74936 0.365545 0.105635
-0.996165 3.37732 4.75981 0.369106 0.103481
-0.994216 3.34028 4.77006 0.372669 0.101356
-0.991869 3.30291 4.78009 0.376233 0.0992585
-0.989125 3.2652 4.78991 0.379796 0.0971898
-0.985986 3.22717 4.79953 0.383356 0.0951494
-0.982453 3.18882 4.80894 0.386911 0.093137
-0.978526 3.15015 4.81816 0.390461 0.0911527
-0.974208 3.11117 4.82718 0.394002 0.0891961
-0.969501 3.07187 4.836 0.397534 0.0872671
-0.964405 3.03227 4.84463 0.401055 0.0853653
-0.958924 2.99236 4.85307 0.404562 0.0834906
-0.95306 2.95215 4.86133 0.408055 0.0816425
-0.946814 2.91165 4.86941 0.411532 0.0798208
-0.940189 2.87086 4.8773 0.414991 0.0780251
-0.933189 2.82978 4.88501 0.41843 0.076255
-0.925815 2.78842 4.89255 0.421848 0.0745102
-0.91807 2.74678 4.89992 0.425243 0.0727903
-0.909959 2.70486 4.90711 0.428613 0.0710947
-0.901484 2.66267 4.91414 0.431958 0.0694232
-0.892648 2.62022 4.921 0.435275 0.0677752
-0.883455 2.57751 4.92769 0.438563 0.0661504
-0.873908 2.53453 4.93423 0.44182 0.0645482
-0.864012 2.49131 4.94061 0.445046 0.0629682
-0.853771 2.44783 4.94682 0.448237 0.06141
-0.843188 2.40411 4.95289 0.451393 0.0598731
-0.832267 2.36015 4.9588 0.454513 0.0583569
-0.821014 2.31596 4.96456 0.457594 0.0568611
-0.809433 2.27153 4.97017 0.460636 0.0553852
-0.797527 2.22687 4.97564 0.463638 0.0539286
-0.785303 2.182 4.98096 0.466596 0.052491
-0.772764 2.1369 4.98614 0.469512 0.0510718
-0.759917 2.09159 4.99118 0.472382 0.0496706
-0.746765 2.04607 4.99608 0.475206 0.0482868
-0.733315 2.00035 5.00084 0.477982 0.0469201
